grammar_target_id,grammar_example_id,grammar_element_id,target_order,target_role,target_text_zh,occurrence_number,review_status,notes
gtarget_6513049eba0749918df6e465c1677a05,gexample_50e064c31dee44b188b641f07ed75c8c,gelement_b7265b28c7a144e9bab354737b6b130a,1,prefix,小,1,approved,
gtarget_cdc875ce93b04708952cf5c4e01dc337,gexample_3cd63eee4a664a4f810f20ad6028dadb,gelement_11f2932a68b542959aa47b381f73722c,1,prefix,第,1,approved,
gtarget_f0af3fd1418a4ecd91681ef420e96c95,gexample_2a7e0ab90b1d4119ba79a7e6ab0227d2,gelement_ec6cc25b0b79442e8d9d74398d1a25bb,1,suffix,们,1,approved,
gtarget_a1a70b4edf74488a9258e1b065b3dc97,gexample_7c8199c4171d45d3b63ee87e362a1b56,gelement_b059836e59534709a8d930279ed5aa9f,1,suffix,边,1,approved,
gtarget_f428e59691d648fc85fbc8cdd44cee86,gexample_d03ad36d70634a909fc2d6b4733036c8,gelement_dd36f653115140b8b5cbdeae4c7a48d7,1,location_noun,上,1,approved,
gtarget_6d0bde7cff5b4da49088acf4eef039c0,gexample_fd391a1aff1d4ae7a09713892ca5dc05,gelement_8893c46c640c4e0f972964d90ebd7746,1,location_noun,里,1,approved,
gtarget_6139c6e7529d41538b66c19e547a30b2,gexample_e03f22d7927a49c196b1924303a49a27,gelement_8a66dc49c9064b849508e0d2bb882bca,1,modal,会,1,approved,
gtarget_0c646df08a3d4014a302bc8e95ee11eb,gexample_9b3d76cbd14a469191ff34e4df24d99f,gelement_f9917ba47bb148e1a82b18665150de7b,1,modal,能,1,approved,
gtarget_74ecef6c21f944fab0d0c351ebdbb10a,gexample_812c8838412748ce893105502cde35c1,gelement_473a08dc7c22489c91b55e1c91d7b2d0,1,modal,想,1,approved,
gtarget_194589ed878640f7a7ab2b235f472c04,gexample_d9b6396eb63e4015af1e703c5fc5cf64,gelement_d1973bcb87784417bbcf30b76daaf423,1,modal,要,1,approved,
gtarget_73be51cba0634bda9039ed566b42067b,gexample_0c9e79eaffd64130906cc1c530d7e78f,gelement_ec0fb2388c444048a275bd0b9e921736,1,modal,可以,1,approved,
gtarget_f4bf9009960e437b954a60a3b27230d6,gexample_a7768ead4d4d49cd97a3c2140ef1c96f,gelement_ec0fb2388c444048a275bd0b9e921736,1,modal,可以,1,approved,
gtarget_37077924233e47e09386c00d7cd01c95,gexample_fb219fe8846b4bbb9094c3248228ac94,gelement_f6ef9004ee814a6f955a622e9f17a2ac,1,separable_word,看病,1,approved,
gtarget_095ebe521a34458a8641e81883b33532,gexample_e949fd826ee74b4faa67eb69e0d73725,gelement_d8cb8d87f0a3453ba9c91b766ef8581e,1,separable_word,上课,1,approved,
gtarget_8a91725dd486475280502c07261d729c,gexample_34dd352d28474802a8e50ef8715e8199,gelement_4d9f2e56c1ac41098e4bb04f6f66cbf0,1,question_word,什么,1,approved,
gtarget_b807a90f280c41a3823606bc6f823e3f,gexample_30386be4fb844e0f94ed90724ec8ca07,gelement_0d700183d2cd43f088f9cba3b3c9ec81,1,question_word,哪儿,1,approved,
gtarget_73050ef1ba1b45c0911ec25a95aeeadf,gexample_bb2a1560c4904d3a804750022dadcea7,gelement_77bf8438063c4f66a664cafb4f357e86,1,pronoun,我们,1,approved,
gtarget_4793a4fc7b6846ffb5235918c5634b39,gexample_512f303622fb4803aed72d48dad01131,gelement_cb49c021e6e649c994f03bf1bc4a57f4,1,pronoun,她们,1,approved,
gtarget_61c7a99ad11c46059c7a8781e0e41ca1,gexample_74d23b54f4fc4352800dbd6a289755db,gelement_be6b840d25d548cfa24ea974f4e6ed8c,1,demonstrative,这个,1,approved,
gtarget_e8490e3a533e45dba24372557ed84470,gexample_232d71b233f64c12a3c979bae3264400,gelement_9f625c4306af4b39a5d9d8c7767907e6,1,demonstrative,那些,1,approved,
gtarget_d94ad9bffdf744869ab5b92cedbe536d,gexample_f219decb9c3248189fc15a32b4f6e605,gelement_e75afce261e84221ac67aa5deb20aa6e,1,numeral,二,1,approved,
gtarget_9cbc6f3c77f745a6bf4707159761f053,gexample_8f16d444cfaa459bbb7bcee78c9ea47f,gelement_665373a62d0645feb3adfdb5ad3ece47,1,numeral,两,1,approved,
gtarget_b7745e697de345ebb001fde5c31b2fd6,gexample_d79059feec804af98e66458478217025,gelement_16ca3743bd1b4fdaace118a1c4ddf435,1,classifier,本,1,approved,
gtarget_29f1429ee4a84c5ea55210019e74679a,gexample_7b4ec541d9c748e6b701fc95b9af1675,gelement_d265a71d2bed49f481e63209583ad339,1,classifier,只,1,approved,
gtarget_4a110a0657ca41b592f6f22f949f9146,gexample_72230dad3b214b48babca1deecda6de4,gelement_cbf9606281d3493b8bbad441e6946592,1,classifier,杯,1,approved,
gtarget_99834cb92681431cb2580948d1c6a7b4,gexample_a54d45a24dd841bb9d25c9be7b1a7a8b,gelement_cbf9606281d3493b8bbad441e6946592,1,classifier,杯,1,approved,
gtarget_bad087c7adb54a1e8352572e9428d82c,gexample_25e9ec64c086476699c1c433cc32a510,gelement_769a7798ae1a484f86bf20e35522ae8d,1,time_unit,日,1,approved,
gtarget_902400dccdd740cba7aa5be3aa81aaf2,gexample_9e2715b975194e9ba847d631e0c471c6,gelement_bce42ed3a863431e8ce38011cb40b803,1,age_unit,岁,1,approved,
gtarget_7e7a93bd047d4de9a36c6e6301dfcbab,gexample_f5c5a835d42b45cc92c32385fbfdc4c3,gelement_eb0bf178e84f47e9ab0d0fbe7f2e47ee,1,degree_adverb,很,1,approved,
gtarget_c62263878cc845049deb992ecd33fb21,gexample_cc233499b3824dfa925317e57445ac1b,gelement_6130f48ca8e442a7bca55ec058976199,1,degree_adverb,有一点儿,1,approved,
gtarget_7660c843519a466db073816412010ef9,gexample_25425ae695f14bbfbf9b6e4180c3914c,gelement_9e115b6cf8c14f5681980d7a833bd59a,1,scope_adverb,都,1,approved,
gtarget_9c85431a77d7496fafe0f6e43bff7b30,gexample_8c709835d14e4f19818b3a58aeba7b11,gelement_9e115b6cf8c14f5681980d7a833bd59a,1,scope_adverb,都,1,approved,
gtarget_4cf1cc72bb964bbe9fb09d640a965770,gexample_500d8710344a48218dcb3a2d0b77bdeb,gelement_79d5cb73c61e4f7a8d326c75ad3ab198,1,progressive_adverb,在,1,approved,
gtarget_44c1bed38ac3438dad386c87c23fab6c,gexample_99b2c8a87f2f47a294805d8b4f17165e,gelement_311e553831a34543813310c7c33904aa,1,progressive_adverb,正在,1,approved,
gtarget_43569fe6a9644b7d8fceda222dbdd00c,gexample_6aaf0acb0a3245d8a9f6516832a0036c,gelement_b8665d534c154fe5b4bde3595424c9a0,1,frequency_adverb,再,1,approved,
gtarget_ae7dd09b558048a6ad7c638e713b8397,gexample_5e419924dc1b48c094112c2c166f0311,gelement_b8665d534c154fe5b4bde3595424c9a0,1,frequency_adverb,再,1,approved,
gtarget_1050481ed70b4e3fa12015d9e0e86049,gexample_ca5f185ce063468c8358e6409aeb5280,gelement_e8bc3d2e18334230a6acce1a31620d92,1,additive_adverb,还,1,approved,
gtarget_ee467ed662c84dabaf78b76c4fb3022a,gexample_bdfb7ba3c5ba4c41be37c5aaebf2cbad,gelement_3fb8042e1ebb4a9dae3481700ac10540,1,additive_adverb,也,1,approved,
gtarget_587a2798bb244605924ed574ab668b84,gexample_cd0f96f9b8e447668b993a8ce5258d03,gelement_a60d56763edd4758adf9fc03bb12fd01,1,negator,不,1,approved,
gtarget_d85834650c4047f3aabab592b48eb2a7,gexample_16cca6e5ff1447e5acce62ee0b2a59f4,gelement_ae55dd6f23c64d229debda563a429198,1,negator,没有,1,approved,
gtarget_daf1f952fc974fd3a2fc9f53cfd39e4a,gexample_b63afb3846454f29aef449936f7c5134,gelement_0848f17eaaf44eb793d8cad80c47e684,1,prohibitive,不要,1,approved,
gtarget_b544137e581a4a73b15b7c7bfcd01428,gexample_81b039b2a20a46d8ae426c74a2869684,gelement_4de22919d2d44c9a8077d864b648637a,1,preposition,在,1,approved,
gtarget_4cb25b6e5f014f48ac1ff1ebb06a6c05,gexample_28be051c835d43068165a80323b30db3,gelement_4de22919d2d44c9a8077d864b648637a,1,preposition,在,1,approved,
gtarget_72d7292cdc3442e8867323bc5e922e75,gexample_b119fdc0a20e4f38874b65b4c4a9506f,gelement_231cf6fc070548549013b3c5e8778a5c,1,preposition,和,1,approved,
gtarget_d07d252cf5374b728b7de684d08830d7,gexample_654a52c8cce644b488a75d1cab87dc7e,gelement_eb332a8ff1534de5822d30ceb310e18d,1,preposition,对,1,approved,
gtarget_82dd598c5ded494bb2271d8f05d65c08,gexample_d5a1ea5937f84a849ae3a710179b5b92,gelement_e498f91673f64226b98be2a9dac0b18d,1,conjunction,和,1,approved,
gtarget_a628ca91c79149a0945a25e09dee5dff,gexample_ec9b8f0db2624a25b8e7a014f28feabe,gelement_e498f91673f64226b98be2a9dac0b18d,1,conjunction,和,1,approved,
gtarget_bf02cf93c6c44f2095a857078f1f3e7a,gexample_aeb1e2125c6c4a5abb2722bb73a5671d,gelement_9b24ead5baa4441dba26d9a9e642cda1,1,structural_particle,的,1,approved,
gtarget_02ca1577e5be48e282143f2878149fa9,gexample_123b3c06a89847928bea4bc7545cbde2,gelement_9b24ead5baa4441dba26d9a9e642cda1,1,structural_particle,的,1,approved,
gtarget_113c407a8df6449a880482cf4ef4dc1d,gexample_667757b4a0f94173a93434798236b75d,gelement_0e26489ecb7740a6a836ea4537dfb860,1,aspect_particle,了,1,approved,
gtarget_2992599040cd4d1d8d193002cc6b5b0f,gexample_4a8276ab287c4322b723f74404f71934,gelement_0e26489ecb7740a6a836ea4537dfb860,1,aspect_particle,了,1,approved,
gtarget_8e681a1f59a24df99f10611a37460308,gexample_9671af513ca143ec8d871186361a00bd,gelement_ff8baf3e9fd2418481a45fac68dcc311,1,modal_particle,吧,1,approved,
gtarget_673dedb33c224ab39b40419c550fcc05,gexample_7ba67025c3f645b3b0471a2169f9bb00,gelement_8eaaf40fdfd046da939058da7452f7d3,1,modal_particle,了,1,approved,
gtarget_972b104363d74eb49aa2cf7c366c426e,gexample_bf99e3b373664a7b87a3cde8d74107de,gelement_d1427939ada44d56b07a9d2be2d63987,1,modal_particle,吗,1,approved,
gtarget_4216c8e2fb6b4697a7990ae4f051ba94,gexample_2109e85839b04ccebda19296a0eeadce,gelement_6d8fc2d31338471b85e14bd32c5395e6,1,modal_particle,呢,1,approved,
gtarget_6c2b395df17b4b5abd9f6122d3d341e3,gexample_b256c4a6c82143e6949845ca7f9d61c4,gelement_05f2c1c21f5f413c84ff097ec9e5a5ed,1,modal_particle,呢,1,approved,
gtarget_57ffee6e74124c7797efcfd095804bf3,gexample_743bdbe60134409e9af8a2a65709e041,gelement_6e1a60abc4d14070a7ce18433cdb9382,1,modal_particle,呢,1,approved,
gtarget_2c4acb1d2d9f497f806c210a7eebb3c4,gexample_4a5fa77523884990be5f98a99c90068d,gelement_1c6820a111df4063b7e43bbc9d54015f,1,interjection,喂,1,approved,
gtarget_53eac390638d4dc5ab2c194403300f1a,gexample_322c0047e09a4d5ea7d946dec52b0862,gelement_1c6820a111df4063b7e43bbc9d54015f,1,interjection,喂,1,approved,
gtarget_895b2122043f4d10a8573b73a30f2af6,gexample_77d2854eee864747b1d941a44c0cc2d0,gelement_d3b7e732c22149f8a878c62c7e02922d,1,coordinate_phrase,爸爸妈妈,1,approved,
gtarget_0b2f159688104dde8c02ae959159cbc9,gexample_7dc0488344324c9984c487d9ff97dd98,gelement_d3b7e732c22149f8a878c62c7e02922d,1,coordinate_phrase,读书和写字,1,approved,
gtarget_356cfb4e2ea64b5484b5417c8f2646c9,gexample_a505dc844b314f3d95015f4ebe902258,gelement_6568409fcccf4305be5dc259f7dc5734,1,modifier_head_phrase,我的书,1,approved,
gtarget_6627bfcaddc14271895955f510294bc1,gexample_59e26c8f7c6447a9a51f5759eabcc159,gelement_6568409fcccf4305be5dc259f7dc5734,1,modifier_head_phrase,好看的电影,1,approved,
gtarget_2549d557678a42cea3e5aafb71407022,gexample_e671edf0c9e24754a417f02b02033e1d,gelement_32a436e8e63a4a8287c1a424f9759738,1,verb_object_phrase,看书,1,approved,
gtarget_65a703e1e0c14364b3d1f21bc1e8fe5a,gexample_7e571d41b4ce489b827af4eabce08263,gelement_32a436e8e63a4a8287c1a424f9759738,1,verb_object_phrase,吃饭,1,approved,
gtarget_e75ed88849174833b968129454ecaa90,gexample_73a7f0704ba64e8b8ee1a02accacf11a,gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,1,subject_predicate_phrase,天气很好,1,approved,
gtarget_014614c6944c4d29bd21e123e0509622,gexample_5434641f4e9542e2bfd0bc382a08b1a2,gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,1,subject_predicate_phrase,他是老师,1,approved,
gtarget_a1d9a34de18e4e9e8fac9f679785429a,gexample_46c5e82c4eac455990e2c91a6d57f248,gelement_39be1f69e9334636950e34f51d80623f,1,numeral_measure_phrase,三本,1,approved,
gtarget_6974fef4c2d54a02a12a5c02d5a9f5a8,gexample_e31fa1c965854244a062d82b6a14ae05,gelement_39be1f69e9334636950e34f51d80623f,1,numeral_measure_phrase,两件,1,approved,
gtarget_e84cc960eb3c49989bc3c438dfce164f,gexample_7de0d4aa46af4629a53b2f4ac3c31fd8,gelement_9c4a48936289472d87c9f7ac4ece82a7,1,preposition_object_phrase,在学校,1,approved,
gtarget_608a4ca4629e47b4974366034fc87cc5,gexample_b94dfcacac86441fb4bb2737947714a5,gelement_9c4a48936289472d87c9f7ac4ece82a7,1,preposition_object_phrase,对我,1,approved,
