measure_word_id,level,headword_vocab_id,headword_hanzi,pinyin,pinyin_numeric,meaning_en,review_status,source_id,notes
measure_1_0003_爸爸,1,hsk26-v00003,爸爸,bàba,ba4ba,father; dad,legacy_unreviewed,legacy-runtime,
measure_1_0005_白天,1,hsk26-v00005,白天,báitiān,bai2tian1,daytime,legacy_unreviewed,legacy-runtime,
measure_1_0008_包子,1,hsk26-v00008,包子,bāozi,bao1zi,baozi; steamed bun,legacy_unreviewed,legacy-runtime,
measure_1_0009_杯子,1,hsk26-v00009,杯子,bēizi,bei1zi,cup; glass,legacy_unreviewed,legacy-runtime,
measure_1_0011_边,1,hsk26-v00011,边,biān,bian1,side; edge,legacy_unreviewed,legacy-runtime,
measure_1_0012_病,1,hsk26-v00012,病,bìng,bing4,illness; disease,legacy_unreviewed,legacy-runtime,
measure_1_0016_菜,1,hsk26-v00016,菜,cài,cai4,vegetable; dish,legacy_unreviewed,legacy-runtime,
measure_1_0017_茶,1,hsk26-v00017,茶,chá,cha2,tea,legacy_unreviewed,legacy-runtime,
measure_1_0019_超市,1,hsk26-v00019,超市,chāoshì,chao1shi4,supermarket,legacy_unreviewed,legacy-runtime,
measure_1_0020_车,1,hsk26-v00020,车,chē,che1,car; vehicle,legacy_unreviewed,legacy-runtime,
measure_1_0027_大学,1,hsk26-v00027,大学,dàxué,da4xue2,university; college,legacy_unreviewed,legacy-runtime,
measure_1_0032_弟弟,1,hsk26-v00032,弟弟,dìdi,di4di,younger brother,legacy_unreviewed,legacy-runtime,
measure_1_0034_店,1,hsk26-v00034,店,diàn,dian4,shop; small store,legacy_unreviewed,legacy-runtime,
measure_1_0035_电话,1,hsk26-v00035,电话,diànhuà,dian4hua4,phone; telephone call,legacy_unreviewed,legacy-runtime,
measure_1_0036_电脑,1,hsk26-v00036,电脑,diànnǎo,dian4nao3,computer,legacy_unreviewed,legacy-runtime,
measure_1_0037_电视,1,hsk26-v00037,电视,diànshì,dian4shi4,television; TV,legacy_unreviewed,legacy-runtime,
measure_1_0038_电影,1,hsk26-v00038,电影,diànyǐng,dian4ying3,movie; film,legacy_unreviewed,legacy-runtime,
measure_1_0039_电影院,1,hsk26-v00039,电影院,diànyǐngyuàn,dian4ying3yuan4,cinema; movie theater,legacy_unreviewed,legacy-runtime,
measure_1_0040_东西,1,hsk26-v00040,东西,dōngxi,dong1xi,thing; stuff,legacy_unreviewed,legacy-runtime,
measure_1_0050_饭,1,hsk26-v00050,饭,fàn,fan4,meal; cooked rice,legacy_unreviewed,legacy-runtime,
measure_1_0051_饭店,1,hsk26-v00051,饭店,fàndiàn,fan4dian4,restaurant; hotel,legacy_unreviewed,legacy-runtime,
measure_1_0052_房间,1,hsk26-v00052,房间,fángjiān,fang2jian1,room,legacy_unreviewed,legacy-runtime,
measure_1_0054_飞机,1,hsk26-v00054,飞机,fēijī,fei1ji1,airplane,legacy_unreviewed,legacy-runtime,
measure_1_0058_歌,1,hsk26-v00058,歌,gē,ge1,song,legacy_unreviewed,legacy-runtime,
measure_1_0059_哥哥,1,hsk26-v00059,哥哥,gēge,ge1ge,older brother,legacy_unreviewed,legacy-runtime,
measure_1_0062_公司,1,hsk26-v00062,公司,gōngsī,gong1si1,company,legacy_unreviewed,legacy-runtime,
measure_1_0063_工作,1,hsk26-v00063,工作,gōngzuò,gong1zuo4,to work; work,legacy_unreviewed,legacy-runtime,
measure_1_0064_狗,1,hsk26-v00064,狗,gǒu,gou3,dog,legacy_unreviewed,legacy-runtime,
measure_1_0083_火车,1,hsk26-v00083,火车,huǒchē,huo3che1,train,legacy_unreviewed,legacy-runtime,
measure_1_0084_鸡蛋,1,hsk26-v00084,鸡蛋,jīdàn,ji1dan4,egg,legacy_unreviewed,legacy-runtime,
measure_1_0086_家,1,hsk26-v00086,家,jiā,jia1,home; family,legacy_unreviewed,legacy-runtime,
measure_1_0090_饺子,1,hsk26-v00090,饺子,jiǎozi,jiao3zi,dumpling,legacy_unreviewed,legacy-runtime,
measure_1_0092_姐姐,1,hsk26-v00092,姐姐,jiějie,jie3jie,older sister,legacy_unreviewed,legacy-runtime,
measure_1_0103_课,1,hsk26-v00103,课,kè,ke4,class; course,legacy_unreviewed,legacy-runtime,
measure_1_0107_老师,1,hsk26-v00107,老师,lǎoshī,lao3shi1,teacher,legacy_unreviewed,legacy-runtime,
measure_1_0114_妈妈,1,hsk26-v00114,妈妈,māma,ma1ma,mother; mom,legacy_unreviewed,legacy-runtime,
measure_1_0119_猫,1,hsk26-v00119,猫,māo,mao1,cat,legacy_unreviewed,legacy-runtime,
