task_id,capability_number,statement_zh,statement_en,source_id,source_locator_zh,source_locator_en
hsk26-task1-01,1,能听懂在聚会、新生报到、参加活动等场景中关于个人基本信息的简单问题，或关于个人基本信息的简单介绍，如姓名、国籍、年龄、性别、喜好、习惯、身份、家庭成员、朋友、技能等。,"Can understand simple questions about basic personal information, or simple introductions of basic personal information, in settings such as gatherings, new-student registration, and participating in activities; examples include 姓名、国籍、年龄、性别、喜好、习惯、身份、家庭成员、朋友、技能等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:58,reference/HSK_SYLLABUS_EN.md:58
hsk26-task1-01,2,能在上述场景中询问个人的基本信息；能回答上述场景中关于个人基本信息的简单问题。,Can ask for a person’s basic information in the above settings; can answer simple questions about basic personal information in the above settings.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:59,reference/HSK_SYLLABUS_EN.md:59
hsk26-task1-01,3,能简单介绍上述个人基本信息。,Can briefly introduce the above basic personal information.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:60,reference/HSK_SYLLABUS_EN.md:60
hsk26-task1-01,4,能识别名片、身份证、学生卡、短小读物等材料上的上述个人基本信息。,Can identify the above basic personal information on materials such as 名片、身份证、学生卡 and short reading materials.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:61,reference/HSK_SYLLABUS_EN.md:61
hsk26-task1-02,1,能听懂日常生活中关于事件信息的简单问题，或关于事件基本信息的简单介绍。如日期、时间、地点、方位、活动参加者、电话号码等。,"Can understand simple questions about event information in daily life, or simple introductions of basic event information, such as 日期、时间、地点、方位、活动参加者、电话号码等.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:65,reference/HSK_SYLLABUS_EN.md:65
hsk26-task1-02,2,能向家人、朋友、同学等询问上述简单事件信息；能在日常交流中回答关于上述简单事件信息的询问。,"Can ask family members, friends, classmates, and others for the above simple event information; can answer questions about the above simple event information in daily communication.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:66,reference/HSK_SYLLABUS_EN.md:66
hsk26-task1-02,3,能向他人简单介绍上述事件信息。,Can briefly introduce the above event information to others.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:67,reference/HSK_SYLLABUS_EN.md:67
hsk26-task1-02,4,能看懂医院、电影院、图书馆等公共场所出现的简单事件信息。,Can understand simple event information that appears in public places such as 医院、电影院、图书馆.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:68,reference/HSK_SYLLABUS_EN.md:68
hsk26-task1-03,1,能听懂家中、宿舍、商场、学校等场景中关于物品信息的简单问题，或关于常用物品信息的简单介绍。如日常生活物品、学习用品名称，物品大小、数量、好坏、新旧等方面的特征。,"Can understand simple questions about object information, or simple introductions of commonly used object information, in settings such as the home, dormitory, shopping mall, and school; examples include 日常生活物品、学习用品名称，物品大小、数量、好坏、新旧等方面的特征.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:72,reference/HSK_SYLLABUS_EN.md:72
hsk26-task1-03,2,能询问关于上述日常物品的简单信息；能在日常交流中回答关于物品信息的简单询问。,Can ask for simple information about the above daily objects; can answer simple questions about object information in daily communication.,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:73,reference/HSK_SYLLABUS_EN.md:73
