sentence_id,turn_order,locale,text,review_status,source_id,notes
hsk1_sent_zh_en_001,1,en,There are four people in my family.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_001,1,en,I am not a teacher; I am a student.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_001,1,en,Are you a student?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_001,1,en,I have liked drawing since I was little.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_001,1,en,I am taller than my older brother.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_001,1,en,Do you run fast?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_001,1,en,Please put the passport in the bag.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_001,1,en,I put the credit card on the table.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_001,1,en,Did you bring your passport?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_002,1,en,Today is Wednesday.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_002,1,en,She wants to drink tea.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_002,1,en,Do you like drinking tea?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_002,1,en,He is a little taller than me.,legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_002,1,en,She has already finished washing the clothes.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_002,1,en,Have you seen this movie?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_002,1,en,My office is next to the elevator.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_002,1,en,"If you feel hungry, you can eat instant noodles.",legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_002,1,en,Will you be late today?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_003,1,en,It is eight thirty now.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_003,1,en,There are three cats here.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_003,1,en,Do you have class today?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_003,1,en,"Although it is raining, we still go to class.",legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_003,1,en,Please turn on the computer.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_003,1,en,Have you already finished eating?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_003,1,en,He was invited to the office by the teacher.,legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_003,1,en,She was invited by a colleague to attend the evening party.,legacy_unreviewed,legacy-runtime,
hsk3_sent_zh_qa_003,1,en,Did you catch a cold?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk1_sent_zh_en_004,1,en,I get up at six in the morning.,legacy_unreviewed,legacy-runtime,
hsk1_sent_en_zh_004,1,en,I do not have a boyfriend.,legacy_unreviewed,legacy-runtime,
hsk1_sent_zh_qa_004,1,en,Can you write Chinese characters?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk2_sent_zh_en_004,1,en,"Because his body hurts, he did not go running.",legacy_unreviewed,legacy-runtime,
hsk2_sent_en_zh_004,1,en,I want to travel with a friend.,legacy_unreviewed,legacy-runtime,
hsk2_sent_zh_qa_004,1,en,Do you want to take the subway?,legacy_unreviewed,legacy-runtime,Model-answer translations are not present in legacy data.
hsk3_sent_zh_en_004,1,en,"If it does not rain tomorrow, we will go to the park.",legacy_unreviewed,legacy-runtime,
hsk3_sent_en_zh_004,1,en,"Besides coffee, he also wants mineral water.",legacy_unreviewed,legacy-runtime,
