grammar_lesson_id,level_introduced,lesson_kind,title_en,target_form_zh,summary_en,watch_out_en,display_group_en,display_group_basis,register,review_status,basis_source_id,content_origin,notes
glesson_1412363f764e4b6e804c4a579f649313,1,morphology,Building words with 小 and 第,小—、第—,"Express a smaller or junior type with 小, and identify ordinal position with 第.","第 marks order, not quantity: 第一本书 is 'the first book,' not 'one book.'",Morphemes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_47131ae8ea394437a5297f42b342b73d,1,morphology,Plural people and location sides,—们、—边,Express a group of people with 们 and form common side or location words with 边.,们 normally follows human pronouns or human nouns; do not add it after a number and classifier.,Morphemes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_a9c2ecd6c785436fa03139619ca2affd,1,inventory_member,Basic location nouns,上、下、里、外、前、后,"Express where something is by naming a relative position such as on, inside, outside, in front, or behind.","A reference noun normally comes before the location noun: 桌子上, not 上桌子.",Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_6fbcb4305c5d4a5d88bf76bae817835f,1,function,Learned ability with 会 and possible ability with 能,会、能,Express a learned skill with 会 or say that ability and circumstances make an action possible with 能.,"For a learned skill, 会 is usually more specific than 能; 能 often depends on ability or present circumstances.",Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_5e7f55241f214616ac7cde0dbdddfd71,1,function,Wants and intentions with 想 and 要,想、要,"Express a wish with 想 or a firmer intention, need, or request with 要.",想 usually sounds less definite than 要 when both introduce an intended action.,Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_5a426c2d10734028a3898347249529d4,1,function,Permission and acceptable options with 可以,可以,"Express that an action is permitted or is an available, acceptable option.",可以 focuses on permission or acceptability; 会 focuses on learned skill.,Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_bb78882713cf4b49876d78dacf6ebf54,1,inventory_member,Common verb-object separable words,看病、睡觉、说话、上课、下课、上班、下班、生病,Express everyday activities and states whose familiar two-character forms contain a verb-like part and an object-like part.,"These forms behave as verb-object units, so later grammar may place material between their parts; do not assume every item is an indivisible verb.",Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_43642677d6364b81a48e4506d8a0105c,1,inventory_member,Asking for missing information,多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么、怎么样,"Express a focused question about degree, quantity, identity, place, choice, manner, or condition.",Keep the question word where the requested information belongs; Mandarin does not move it to the beginning just because it is a question.,Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_1a3df179f68d4d33aa38254927c24dbc,1,inventory_member,Personal pronouns,我、你、您、他、她、我们、你们、他们、她们、它、它们、大家,"Express who is speaking, being addressed, or being discussed, in singular or plural reference.","他, 她, and 它 sound alike but distinguish a male person, a female person, and a nonhuman referent in writing.",Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
glesson_6360c8ccc591431488f7006797127eb7,1,inventory_member,"Pointing to people, things, and places",这、那、这儿、那儿、这里、那里、这些、那些、有的、这个、那个、有些,"Express which nearby or more distant person, thing, place, or subset you mean.","Before a noun, use a classifier where required: 这个人, not 这人 in the neutral beginner pattern.",Word classes,official_category,neutral,approved,hsk26-zh+hsk26-en,project_authored,
