vocab_id,locale,text,review_status,source_id,notes
hsk26-v00001,en,to love; to like,legacy_unreviewed,legacy-runtime,
hsk26-v00002,en,eight,legacy_unreviewed,legacy-runtime,
hsk26-v00003,en,father; dad; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00004,en,...right?; ...OK?,legacy_unreviewed,legacy-runtime,
hsk26-v00005,en,daytime; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00006,en,hundred,legacy_unreviewed,legacy-runtime,
hsk26-v00007,en,half,legacy_unreviewed,legacy-runtime,
hsk26-v00008,en,baozi; steamed bun; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00009,en,cup; glass; CL: 个 [ge4]; 只 [zhi1],legacy_unreviewed,legacy-runtime,
hsk26-v00010,en,classifier for books; volumes,legacy_unreviewed,legacy-runtime,
hsk26-v00011,en,side; edge; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00012,en,illness; disease; CL: 场 [chang2],legacy_unreviewed,legacy-runtime,
hsk26-v00013,en,not; no,legacy_unreviewed,legacy-runtime,
hsk26-v00014,en,you're welcome,legacy_unreviewed,legacy-runtime,
hsk26-v00015,en,don't; must not,legacy_unreviewed,legacy-runtime,
hsk26-v00016,en,vegetable; dish; CL: 棵 [ke1]; 样 [yang4]; 道 [dao4]; 盘 [pan2],legacy_unreviewed,legacy-runtime,
hsk26-v00017,en,tea; CL: 杯 [bei1]; 壶 [hu2],legacy_unreviewed,legacy-runtime,
hsk26-v00018,en,to sing,legacy_unreviewed,legacy-runtime,
hsk26-v00019,en,supermarket; CL: 家 [jia1],legacy_unreviewed,legacy-runtime,
hsk26-v00020,en,car; vehicle; CL: 辆 [liang4],legacy_unreviewed,legacy-runtime,
hsk26-v00021,en,to eat,legacy_unreviewed,legacy-runtime,
hsk26-v00022,en,taxi,legacy_unreviewed,legacy-runtime,
hsk26-v00023,en,to wear,legacy_unreviewed,legacy-runtime,
hsk26-v00024,en,to make a phone call,legacy_unreviewed,legacy-runtime,
hsk26-v00025,en,big; large,legacy_unreviewed,legacy-runtime,
hsk26-v00026,en,everyone,legacy_unreviewed,legacy-runtime,
hsk26-v00027,en,university; college; CL: 所 [suo3],legacy_unreviewed,legacy-runtime,
hsk26-v00028,en,university student,legacy_unreviewed,legacy-runtime,
hsk26-v00029,en,to arrive; to reach,legacy_unreviewed,legacy-runtime,
hsk26-v00030,en,of; 's,legacy_unreviewed,legacy-runtime,
hsk26-v00031,en,ordinal prefix,legacy_unreviewed,legacy-runtime,
hsk26-v00032,en,younger brother; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00033,en,o'clock; a little,legacy_unreviewed,legacy-runtime,
hsk26-v00034,en,shop; small store; CL: 家 [jia1],legacy_unreviewed,legacy-runtime,
hsk26-v00035,en,phone; telephone call; CL: 部 [bu4]; 通 [tong1],legacy_unreviewed,legacy-runtime,
hsk26-v00036,en,computer; CL: 台 [tai2],legacy_unreviewed,legacy-runtime,
hsk26-v00037,en,television; TV; CL: 台 [tai2]; 部 [bu4],legacy_unreviewed,legacy-runtime,
hsk26-v00038,en,movie; film; CL: 部 [bu4]; 片 [pian4]; 场 [chang3],legacy_unreviewed,legacy-runtime,
hsk26-v00039,en,cinema; movie theater; CL: 家 [jia1]; 座 [zuo4],legacy_unreviewed,legacy-runtime,
hsk26-v00040,en,thing; stuff; CL: 个 [ge4]; 件 [jian4],legacy_unreviewed,legacy-runtime,
hsk26-v00041,en,all; both,legacy_unreviewed,legacy-runtime,
hsk26-v00042,en,to read,legacy_unreviewed,legacy-runtime,
hsk26-v00043,en,to read; to study,legacy_unreviewed,legacy-runtime,
hsk26-v00044,en,correct; right; toward,legacy_unreviewed,legacy-runtime,
hsk26-v00045,en,sorry; excuse me,legacy_unreviewed,legacy-runtime,
hsk26-v00046,en,many; much,legacy_unreviewed,legacy-runtime,
hsk26-v00047,en,how many; how much,legacy_unreviewed,legacy-runtime,
hsk26-v00048,en,son,legacy_unreviewed,legacy-runtime,
hsk26-v00049,en,two (number 2),legacy_unreviewed,legacy-runtime,
hsk26-v00050,en,meal; cooked rice; CL: 碗 [wan3]; 顿 [dun4],legacy_unreviewed,legacy-runtime,
hsk26-v00051,en,restaurant; hotel; CL: 家 [jia1]; 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00052,en,room; CL: 间 [jian1]; 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00053,en,extremely; very,legacy_unreviewed,legacy-runtime,
hsk26-v00054,en,airplane; CL: 架 [jia4],legacy_unreviewed,legacy-runtime,
hsk26-v00055,en,minute; point; cent,legacy_unreviewed,legacy-runtime,
hsk26-v00056,en,minute,legacy_unreviewed,legacy-runtime,
hsk26-v00057,en,happy; glad,legacy_unreviewed,legacy-runtime,
hsk26-v00058,en,song; CL: 首 [shou3]; 支 [zhi1],legacy_unreviewed,legacy-runtime,
hsk26-v00059,en,older brother; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00060,en,general classifier,legacy_unreviewed,legacy-runtime,
hsk26-v00061,en,to give; for,legacy_unreviewed,legacy-runtime,
hsk26-v00062,en,company; CL: 家 [jia1],legacy_unreviewed,legacy-runtime,
hsk26-v00063,en,to work; work; job; CL: 个 [ge4]; 份 [fen4]; 项 [xiang4],legacy_unreviewed,legacy-runtime,
hsk26-v00064,en,dog; CL: 只 [zhi1]; 条 [tiao2],legacy_unreviewed,legacy-runtime,
hsk26-v00065,en,expensive,legacy_unreviewed,legacy-runtime,
hsk26-v00066,en,country,legacy_unreviewed,legacy-runtime,
hsk26-v00067,en,still; also,legacy_unreviewed,legacy-runtime,
hsk26-v00068,en,child,legacy_unreviewed,legacy-runtime,
hsk26-v00069,en,Chinese language; Mandarin,legacy_unreviewed,legacy-runtime,
hsk26-v00070,en,Chinese character,legacy_unreviewed,legacy-runtime,
hsk26-v00071,en,good,legacy_unreviewed,legacy-runtime,
hsk26-v00072,en,delicious,legacy_unreviewed,legacy-runtime,
hsk26-v00073,en,good-looking; nice,legacy_unreviewed,legacy-runtime,
hsk26-v00074,en,pleasant to hear,legacy_unreviewed,legacy-runtime,
hsk26-v00075,en,fun; interesting,legacy_unreviewed,legacy-runtime,
hsk26-v00076,en,number; day of the month,legacy_unreviewed,legacy-runtime,
hsk26-v00077,en,to drink,legacy_unreviewed,legacy-runtime,
hsk26-v00078,en,and; with,legacy_unreviewed,legacy-runtime,
hsk26-v00079,en,very; quite,legacy_unreviewed,legacy-runtime,
hsk26-v00080,en,back; behind; after,legacy_unreviewed,legacy-runtime,
hsk26-v00081,en,to return; to go back,legacy_unreviewed,legacy-runtime,
hsk26-v00082,en,can; know how to,legacy_unreviewed,legacy-runtime,
hsk26-v00083,en,train; CL: 列 [lie4]; 节 [jie2]; 班 [ban1]; 趟 [tang4],legacy_unreviewed,legacy-runtime,
hsk26-v00084,en,egg; CL: 个 [ge4]; 打 [da2],legacy_unreviewed,legacy-runtime,
hsk26-v00085,en,how many (small number),legacy_unreviewed,legacy-runtime,
hsk26-v00086,en,home; family; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00087,en,family member,legacy_unreviewed,legacy-runtime,
hsk26-v00088,en,to see; to meet,legacy_unreviewed,legacy-runtime,
hsk26-v00089,en,item; classifier for items,legacy_unreviewed,legacy-runtime,
hsk26-v00090,en,dumpling; CL: 个 [ge4]; 只 [zhi1],legacy_unreviewed,legacy-runtime,
hsk26-v00091,en,to call; to be called,legacy_unreviewed,legacy-runtime,
hsk26-v00092,en,older sister; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00093,en,this year,legacy_unreviewed,legacy-runtime,
hsk26-v00094,en,today,legacy_unreviewed,legacy-runtime,
hsk26-v00095,en,nine,legacy_unreviewed,legacy-runtime,
hsk26-v00096,en,to think; to feel,legacy_unreviewed,legacy-runtime,
hsk26-v00097,en,to open; to start,legacy_unreviewed,legacy-runtime,
hsk26-v00098,en,to drive,legacy_unreviewed,legacy-runtime,
hsk26-v00099,en,to look; to see,legacy_unreviewed,legacy-runtime,
hsk26-v00100,en,to see a doctor,legacy_unreviewed,legacy-runtime,
hsk26-v00101,en,to see,legacy_unreviewed,legacy-runtime,
hsk26-v00102,en,can; may,legacy_unreviewed,legacy-runtime,
hsk26-v00103,en,class; course; CL: 门 [men2]; 堂 [tang2]; 节 [jie2],legacy_unreviewed,legacy-runtime,
hsk26-v00104,en,mouth; classifier for people or animals,legacy_unreviewed,legacy-runtime,
hsk26-v00105,en,piece; chunk; yuan,legacy_unreviewed,legacy-runtime,
hsk26-v00106,en,to come,legacy_unreviewed,legacy-runtime,
hsk26-v00107,en,teacher; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00108,en,completed-action marker,legacy_unreviewed,legacy-runtime,
hsk26-v00109,en,cold,legacy_unreviewed,legacy-runtime,
hsk26-v00110,en,inside; in,legacy_unreviewed,legacy-runtime,
hsk26-v00111,en,two (before measure words),legacy_unreviewed,legacy-runtime,
hsk26-v00112,en,zero,legacy_unreviewed,legacy-runtime,
hsk26-v00113,en,six,legacy_unreviewed,legacy-runtime,
hsk26-v00114,en,mother; mom; CL: 个 [ge4]; 位 [wei4],legacy_unreviewed,legacy-runtime,
hsk26-v00115,en,question particle,legacy_unreviewed,legacy-runtime,
hsk26-v00116,en,to buy,legacy_unreviewed,legacy-runtime,
hsk26-v00117,en,to sell,legacy_unreviewed,legacy-runtime,
hsk26-v00118,en,busy,legacy_unreviewed,legacy-runtime,
hsk26-v00119,en,cat; CL: 只 [zhi1],legacy_unreviewed,legacy-runtime,
hsk26-v00120,en,it's okay; no problem,legacy_unreviewed,legacy-runtime,
hsk26-v00121,en,it's okay; nothing's wrong,legacy_unreviewed,legacy-runtime,
hsk26-v00122,en,not have; there is not,legacy_unreviewed,legacy-runtime,
hsk26-v00123,en,younger sister; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00124,en,plural marker,legacy_unreviewed,legacy-runtime,
hsk26-v00125,en,cooked rice,legacy_unreviewed,legacy-runtime,
hsk26-v00126,en,bread; CL: 片 [pian4]; 块 [kuai4],legacy_unreviewed,legacy-runtime,
hsk26-v00127,en,noodles,legacy_unreviewed,legacy-runtime,
hsk26-v00128,en,next year,legacy_unreviewed,legacy-runtime,
hsk26-v00129,en,tomorrow,legacy_unreviewed,legacy-runtime,
hsk26-v00130,en,name; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00131,en,which,legacy_unreviewed,legacy-runtime,
hsk26-v00132,en,which one,legacy_unreviewed,legacy-runtime,
hsk26-v00133,en,where (formal),legacy_unreviewed,legacy-runtime,
hsk26-v00134,en,where (colloquial),legacy_unreviewed,legacy-runtime,
hsk26-v00135,en,which ones,legacy_unreviewed,legacy-runtime,
hsk26-v00136,en,that,legacy_unreviewed,legacy-runtime,
hsk26-v00137,en,there; that side,legacy_unreviewed,legacy-runtime,
hsk26-v00138,en,that; that one,legacy_unreviewed,legacy-runtime,
hsk26-v00139,en,there (formal),legacy_unreviewed,legacy-runtime,
hsk26-v00140,en,there (colloquial),legacy_unreviewed,legacy-runtime,
hsk26-v00141,en,those,legacy_unreviewed,legacy-runtime,
hsk26-v00142,en,male,legacy_unreviewed,legacy-runtime,
hsk26-v00143,en,boyfriend,legacy_unreviewed,legacy-runtime,
hsk26-v00144,en,question particle; what about...?,legacy_unreviewed,legacy-runtime,
hsk26-v00145,en,can; be able to,legacy_unreviewed,legacy-runtime,
hsk26-v00146,en,you (singular),legacy_unreviewed,legacy-runtime,
hsk26-v00147,en,hello; hi,legacy_unreviewed,legacy-runtime,
hsk26-v00148,en,you (plural),legacy_unreviewed,legacy-runtime,
hsk26-v00149,en,year; CL: 个 [ge4],legacy_unreviewed,legacy-runtime,
hsk26-v00150,en,you (polite),legacy_unreviewed,legacy-runtime,
hsk26-v00151,en,milk; CL: 瓶 [ping2]; 杯 [bei1],legacy_unreviewed,legacy-runtime,
hsk26-v00152,en,female; woman,legacy_unreviewed,legacy-runtime,
hsk26-v00153,en,daughter,legacy_unreviewed,legacy-runtime,
