grammar_pattern_id,grammar_lesson_id,grammar_element_id,pattern_order,label_en,pattern,formation_en,usage_en,review_status,notes
gpattern_e6b8bcab096c4e48982cc60ae005fb0e,glesson_1412363f764e4b6e804c4a579f649313,gelement_b7265b28c7a144e9bab354737b6b130a,1,Small or junior label,小 + Noun,Attach 小 directly before a suitable noun.,"Names a smaller, younger, or junior member of a type.",approved,
gpattern_26fb2c608cc341748d6fdaf3d377b9a8,glesson_1412363f764e4b6e804c4a579f649313,gelement_11f2932a68b542959aa47b381f73722c,2,Ordinal number,第 + Numeral,Place 第 immediately before the number.,States position in an ordered series.,approved,
gpattern_6c8a2dada14e46979a6814704a442f89,glesson_47131ae8ea394437a5297f42b342b73d,gelement_ec6cc25b0b79442e8d9d74398d1a25bb,1,Human plural,Human pronoun/noun + 们,Attach 们 directly to the human expression.,Refers to more than one person.,approved,
gpattern_e0413febc4fa41ddbdf78421108011b7,glesson_47131ae8ea394437a5297f42b342b73d,gelement_b059836e59534709a8d930279ed5aa9f,2,Side or place,Direction/Demonstrative + 边,Attach 边 to a direction or demonstrative.,Forms words such as 那边 and 外边.,approved,
gpattern_c33c75d41416461b8b95a8820bf95b76,glesson_6fbcb4305c5d4a5d88bf76bae817835f,,1,Modal before an action,Subject + 会/能 + Verb,Place the modal directly before the main verb.,Select 会 for learned skill and 能 for ability or circumstances.,approved,
gpattern_83e12fafc35c4c12aeb6abe03c2b2d93,glesson_5e7f55241f214616ac7cde0dbdddfd71,,1,Desire before an action,Subject + 想/要 + Verb,Place 想 or 要 before the intended action.,Use 想 for a wish and 要 for a stronger intention or need.,approved,
gpattern_1fa96827322a4f56b660aea58a5fd9df,glesson_5a426c2d10734028a3898347249529d4,gelement_ec0fb2388c444048a275bd0b9e921736,1,Permitted action,Subject + 可以 + Verb,Put 可以 immediately before the action.,"Grants, requests, or describes permission and acceptable possibility.",approved,
gpattern_ce67dc2e2138485d8a1575e0c8f63e4b,glesson_92993e435fd2485884e66731507a89a7,,1,Counted noun phrase,Numeral + Classifier + Noun,Put the classifier between the number and noun.,Choose the classifier licensed by the noun or counting domain.,approved,
gpattern_85484552d4a34dbb8f9ce39d59070ec0,glesson_ffcb8ee873944afc831b07219d8b60c4,gelement_cbf9606281d3493b8bbad441e6946592,1,Cupful,Numeral + 杯 + Drink,Place 杯 between the number and drink.,Counts a cupful or glassful rather than the substance in general.,approved,
gpattern_cb1c93d5fd3342e5ba284a800110b5eb,glesson_4352b1a2159746fd89c742e39cd0668f,gelement_9e115b6cf8c14f5681980d7a833bd59a,1,Whole-set scope,Plural set + 都 + Predicate,Place 都 after the set and before what is true of it.,Says every member shares the following property or action.,approved,
gpattern_cfe36bf5e10a4efab9a27a38861b9661,glesson_ba7347a31d784cbca5182e1d566478fe,,1,Ongoing action,Subject + 在/正在 + Verb,Put 在 or 正在 immediately before the action verb.,Locates the action as currently in progress.,approved,
gpattern_73b06ad2be9f43f49ef28a298552323a,glesson_25b211801b454d9ba2a99a519ff3d998,gelement_b8665d534c154fe5b4bde3595424c9a0,1,Future or requested repeat,再 + Verb,Place 再 immediately before the repeated action.,Requests or schedules another occurrence after now.,approved,
gpattern_2998204968934c2788bceb33c41b86ee,glesson_7fb2f8481a4c4d02942993747c989fcc,,1,Additive adverb,Subject + 还/也 + Predicate,Place the additive adverb before the added predicate.,还 commonly adds another item; 也 says a parallel participant or fact likewise applies.,approved,
gpattern_2209e49aafd448d699e75e79ed2acfd7,glesson_8045fc9617b844d1bea15d13eeab2498,gelement_a60d56763edd4758adf9fc03bb12fd01,1,General negative,不 + Predicate,Place 不 before the predicate.,"Negates a habitual, present, or intended situation.",approved,
gpattern_9ed63dfb08094847984c9164efdedbaf,glesson_8045fc9617b844d1bea15d13eeab2498,gelement_ae55dd6f23c64d229debda563a429198,2,Event or possession negative,没（有） + Verb / 没有 + Noun phrase,"Use 没 or 没有 before an event, and use 没有 before a possessed item.",Denies occurrence or possession.,approved,
gpattern_9596d8858a2a4354813285a7a7ef9323,glesson_8045fc9617b844d1bea15d13eeab2498,gelement_0848f17eaaf44eb793d8cad80c47e684,3,Prohibition,不要 + Verb,Place 不要 before the prohibited action.,Tells someone not to do something.,approved,
gpattern_b3555b4281974b1099fbe81b8c06ef31,glesson_774188c53155422ea5f9f9d9176814f4,gelement_4de22919d2d44c9a8077d864b648637a,1,Event setting,Subject + 在 + Time/Place + Predicate,Put 在 before the time or place and before the main predicate.,Sets the event in a particular time or location.,approved,
gpattern_1dffe951ea2f4835859690e113ccb1b7,glesson_74aaea9ca06346b8b9c1126fb6e0915e,gelement_231cf6fc070548549013b3c5e8778a5c,1,Companion phrase,Subject + 和 + Person + Verb,Place 和 before the companion and before the action.,Identifies who participates together with the subject.,approved,
gpattern_f532c35e63b2422a8ee53e64b5e89a69,glesson_74aaea9ca06346b8b9c1126fb6e0915e,gelement_eb332a8ff1534de5822d30ceb310e18d,2,Target phrase,Subject + 对 + Person/Thing + Predicate,Place 对 before the target.,Directs the following action or attitude toward that target.,approved,
gpattern_8bd94259fe8b4f71b8a4641328367953,glesson_0e77d991e9a346519efa66a6c5882497,gelement_e498f91673f64226b98be2a9dac0b18d,1,Coordinate link,A + 和 + B,Place 和 between two constituents with the same grammatical role.,Presents A and B as a combined set.,approved,
gpattern_1137ac8965924b978f8ec7540b466825,glesson_a74fcd39ad2c4fb59a14ed3cf69e5f45,gelement_9b24ead5baa4441dba26d9a9e642cda1,1,Attributive link,Modifier + 的 + Noun,Place 的 after the modifier and before the noun it describes.,Marks possession or another descriptive relationship.,approved,
gpattern_67eb5e45404340ad9a8b8f6eb619ec76,glesson_1a09481348024cffac4caba31e71ccb6,gelement_0e26489ecb7740a6a836ea4537dfb860,1,Perfective event,Verb + 了 (+ Object),Place 了 immediately after the event verb in this basic pattern.,Presents the event as a bounded whole rather than an ongoing activity.,approved,
gpattern_9933ef32979b44d7a8207b76596121c4,glesson_5a0310b4cf854089997508807c121c78,gelement_ff8baf3e9fd2418481a45fac68dcc311,1,Soft suggestion,Suggestion + 吧,Put 吧 at sentence end.,Makes a proposed action sound less abrupt.,approved,
gpattern_fd96971fa1ce497a93c39a0efdef690f,glesson_5a0310b4cf854089997508807c121c78,gelement_8eaaf40fdfd046da939058da7452f7d3,2,New situation,New situation + 了,Put 了 at the end of the whole sentence.,Signals that the current situation now differs from before.,approved,
gpattern_d97ce888a4984b83ae1d697fe89c6079,glesson_5a0310b4cf854089997508807c121c78,gelement_d1427939ada44d56b07a9d2be2d63987,3,Yes-no question,Statement + 吗？,Keep statement order and add 吗.,Requests confirmation or denial.,approved,
gpattern_48fab9b43aa24719afefeabd35bef4f4,glesson_5a0310b4cf854089997508807c121c78,,4,Three HSK 1 uses of 呢,Information question + 呢 / Topic + 呢 / Ongoing clause + 呢,Place 呢 at the end of the relevant question or ongoing clause.,"Preserve the indexed functions: question tone, topic follow-up, and ongoing situation.",approved,
gpattern_c1b6510cb21a4734abcbe5f75fae4b88,glesson_b94351c5fad2413b9981abea6bd8ba95,gelement_1c6820a111df4063b7e43bbc9d54015f,1,Attention call,喂，+ Utterance,Place 喂 before the utterance used to open the exchange.,Gets the listener's attention before a greeting or question.,approved,
gpattern_8cc081616a254cd5a3c5c36f480f99f8,glesson_8a50ad5ec1cf47199bad98e7b15fbbfb,gelement_d3b7e732c22149f8a878c62c7e02922d,1,Parallel coordination,A + (和) + B,"Place compatible constituents side by side, optionally linked by 和 where natural.",Treats the constituents as a combined set or sequence.,approved,
gpattern_c7a3ac9fca7d466188ab4e0ae725c649,glesson_2168b15d20824e47b75dfa55e28dbf3b,gelement_6568409fcccf4305be5dc259f7dc5734,1,Preposed modifier,Modifier + (的) + Head,Put the modifier before the head and use 的 when the relationship requires it.,"Identifies which person, thing, place, or type is meant.",approved,
gpattern_951295c831224c229a1c7580f0873f35,glesson_1fc581dad530442fa886235a4e4f7d9d,gelement_32a436e8e63a4a8287c1a424f9759738,1,Action and object,Verb + Object,Place the object directly after the transitive verb.,Names an action together with what it affects or involves.,approved,
gpattern_b8f451374bf54b54b3013a36eb809292,glesson_4d919eed7b9347febdef9633d1781586,gelement_1ccf20e7a20744f08a1bf3be2c6f6b58,1,Small proposition,Subject + Predicate,Place the internal topic or subject before what is said about it.,Forms a proposition that can stand alone or fill a role in a larger sentence.,approved,
gpattern_312a9bebab6c428797f60317eb01e3eb,glesson_550e903fb0ab4a659570c5c0220af87d,gelement_39be1f69e9334636950e34f51d80623f,1,Measured quantity,Numeral + Measure word,Place the measure word immediately after the numeral.,"Counts or measures a noun, stated or understood.",approved,
gpattern_a94bd84b10584a95bbafdb75e473a60b,glesson_627f84e67bba43b397e2c78ba24d0683,gelement_9c4a48936289472d87c9f7ac4ece82a7,1,Prepositional phrase,Preposition + Noun/Pronoun phrase,"Place the object immediately after 在, 和, 对, or another licensed preposition.","Adds a time, place, companion, or target to the clause.",approved,
gpattern_5fbd1f090858411387b8644b39025a22,glesson_9a5f822d74fe4c839e358a1bc3acfd9b,gelement_ba781e25e5c9448e8a46f90acd57e89d,1,Relative location,Reference noun + 上/下/里/外/前/后,Place the location noun after its reference.,Names a region relative to that reference.,approved,
gpattern_3406076058eb4c10a1219812c509808e,glesson_59f6ebf93bea45fc8fd173609a6b93f7,gelement_61264ae401b145d2ac3a8e04f1c02f24,1,Brief action,Verb + 一下 (+ Object),Place 一下 immediately after the verb.,"Presents the action as brief, limited, or lightly requested.",approved,
gpattern_287fe16b36c042489bc086fe5f8d019f,glesson_d3d1433d431346659fad3a64d2d182b4,gelement_570bb8aec88b41a6aab59d9a131b0fb9,1,Verbal predication,Subject + Verbal predicate,Place the subject before the verb or verbal phrase.,"States an action, event, experience, or verbal relation.",approved,
