sentence_id,position,surface_form,vocab_id,resolution_status,coverage_type,review_status,notes
hsk1_sent_zh_en_001,1,人,hsk26-v00170,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_001,2,口,hsk26-v00104,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_001,3,四,hsk26-v00198,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_001,4,家,hsk26-v00086,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_001,5,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_en_001,6,有,hsk26-v00263,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_001,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_001,2,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_001,3,是,hsk26-v00188,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_001,4,学生,hsk26-v00248,exact,exact,legacy_unreviewed,
hsk1_sent_en_zh_001,5,老师,hsk26-v00107,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_001,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_001,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_001,3,吗,hsk26-v00115,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_001,4,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_001,5,是,hsk26-v00188,exact,exact,legacy_unreviewed,
hsk1_sent_zh_qa_001,6,学生,hsk26-v00248,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_001,1,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_001,2,画,hsk26-v00359,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_001,3,从小,hsk26-v00325,exact,exact,legacy_unreviewed,
hsk2_sent_zh_en_001,4,喜欢,hsk26-v00225,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_001,1,我,hsk26-v00221,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_001,2,比,hsk26-v00309,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_001,3,高,hsk26-v00341,exact,exact,legacy_unreviewed,
hsk2_sent_en_zh_001,4,哥哥,hsk26-v00059,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,1,不,hsk26-v00013,exact,exact,legacy_unreviewed,
hsk2_sent_zh_qa_001,2,你,hsk26-v00146,exact,exact,legacy_unreviewed,
