grammar_example_id,grammar_lesson_id,grammar_pattern_id,sentence_id,example_order,context_note_en,example_kind,review_status,notes
gexample_50e064c31dee44b188b641f07ed75c8c,glesson_1412363f764e4b6e804c4a579f649313,gpattern_e6b8bcab096c4e48982cc60ae005fb0e,sent_81deeb4dad3c4e1592bf71de2b42919a,1,,primary,approved,
gexample_3cd63eee4a664a4f810f20ad6028dadb,glesson_1412363f764e4b6e804c4a579f649313,gpattern_26fb2c608cc341748d6fdaf3d377b9a8,sent_5b60a47726c140f8a961161b19d0d665,2,,variation,approved,
gexample_2a7e0ab90b1d4119ba79a7e6ab0227d2,glesson_47131ae8ea394437a5297f42b342b73d,gpattern_6c8a2dada14e46979a6814704a442f89,sent_d7eb542210fa4d43b7faf8a2b4a94fdd,1,,primary,approved,
gexample_7c8199c4171d45d3b63ee87e362a1b56,glesson_47131ae8ea394437a5297f42b342b73d,gpattern_e0413febc4fa41ddbdf78421108011b7,sent_f5c17325afcd45ae9a4f63aca6550280,2,,variation,approved,
gexample_d03ad36d70634a909fc2d6b4733036c8,glesson_a9c2ecd6c785436fa03139619ca2affd,,sent_0691e44f80ad4b7d967b38f5cd328b94,1,,primary,approved,
gexample_fd391a1aff1d4ae7a09713892ca5dc05,glesson_a9c2ecd6c785436fa03139619ca2affd,,sent_47f813781d694a2aa7f7c2db42ca7264,2,,variation,approved,
gexample_e03f22d7927a49c196b1924303a49a27,glesson_6fbcb4305c5d4a5d88bf76bae817835f,,sent_0360f865c2b94d5a89d187055b9ffbe8,1,,primary,approved,
gexample_9b3d76cbd14a469191ff34e4df24d99f,glesson_6fbcb4305c5d4a5d88bf76bae817835f,,sent_be146d132dfc44ce80c7349e8eaf038d,2,,variation,approved,
gexample_812c8838412748ce893105502cde35c1,glesson_5e7f55241f214616ac7cde0dbdddfd71,,sent_e86bd8f94d01495db1bcce451b58ddc1,1,,primary,approved,
gexample_d9b6396eb63e4015af1e703c5fc5cf64,glesson_5e7f55241f214616ac7cde0dbdddfd71,,sent_a93625ea74b0463e99208b34d8e82689,2,,variation,approved,
gexample_0c9e79eaffd64130906cc1c530d7e78f,glesson_5a426c2d10734028a3898347249529d4,gpattern_1fa96827322a4f56b660aea58a5fd9df,sent_e001ece4606c45f8b83391db76e464d5,1,,primary,approved,
gexample_a7768ead4d4d49cd97a3c2140ef1c96f,glesson_5a426c2d10734028a3898347249529d4,gpattern_1fa96827322a4f56b660aea58a5fd9df,sent_b73fe8bc2c794eee9fe4c6187b1e67ab,2,,variation,approved,
gexample_fb219fe8846b4bbb9094c3248228ac94,glesson_bb78882713cf4b49876d78dacf6ebf54,,sent_8a01a89d5103418ebe49257b5df70916,1,,primary,approved,
gexample_e949fd826ee74b4faa67eb69e0d73725,glesson_bb78882713cf4b49876d78dacf6ebf54,,sent_9d97092721754a47a362fdac22c68137,2,,variation,approved,
