grammar_note_id,grammar_lesson_id,grammar_element_id,note_order,note_kind,text_en,review_status,notes
gnote_20f13340287343cfb918a1850b079039,glesson_1412363f764e4b6e804c4a579f649313,,1,formation,Both morphemes attach directly to what follows; do not insert 的.,approved,
gnote_196e132313164935b28b830b3347ec09,glesson_47131ae8ea394437a5297f42b342b73d,,1,constraint,These suffixes form one lexical unit with the expression before them.,approved,
gnote_ae3b5d153f0d483e8dda713537a3aae1,glesson_a9c2ecd6c785436fa03139619ca2affd,,1,formation,Put the reference place or object before the location noun.,approved,
gnote_21e33641029e425b9f81ac5fb55dde01,glesson_a9c2ecd6c785436fa03139619ca2affd,,2,usage,The resulting location phrase can follow 在 or come before 有.,approved,
gnote_b6734b9ae93c4701b2265f4ac21e8fae,glesson_6fbcb4305c5d4a5d88bf76bae817835f,,1,formation,The modal comes before the action verb.,approved,
gnote_24ff1efbe890452ab7019711890ee9fb,glesson_6fbcb4305c5d4a5d88bf76bae817835f,,2,constraint,Negate the modal itself: 不会 or 不能.,approved,
gnote_d499257f40de41dfbad321f50813a5ea,glesson_5e7f55241f214616ac7cde0dbdddfd71,,1,usage,Both can introduce an action; 要 can also take a noun as the wanted item.,approved,
gnote_9f40c23034eb4c04aff90582e141bde3,glesson_5a426c2d10734028a3898347249529d4,,1,pragmatics,Add 吗 to the sentence to ask politely whether an action is allowed.,approved,
gnote_f5438f1a58a748799f7666a09d662da7,glesson_bb78882713cf4b49876d78dacf6ebf54,,1,usage,"At this level, learn each item as a common activity or state while recognizing its internal verb-object structure.",approved,
gnote_f2406b16cb4242a5a648b7e2c799c9b2,glesson_43642677d6364b81a48e4506d8a0105c,,1,formation,Replace the unknown sentence part with the matching interrogative pronoun.,approved,
gnote_537e58cb1f1947b8a847c9ffe1818557,glesson_43642677d6364b81a48e4506d8a0105c,,2,constraint,Do not add 吗 to a question that already uses one of these question words.,approved,
gnote_98d85857dd37403497109f0910032f0d,glesson_1a3df179f68d4d33aa38254927c24dbc,,1,usage,"A personal pronoun can serve as subject, object, or possessor according to its position.",approved,
gnote_713c2a589d9a4d1caf5f8abb7804fbe4,glesson_6360c8ccc591431488f7006797127eb7,,1,usage,这-series forms point near the speaker; 那-series forms point farther away or back to known information.,approved,
gnote_5ea6d71f4e48471986d03aa8b0e7b78a,glesson_6360c8ccc591431488f7006797127eb7,,2,usage,有的 and 有些 select only part of a larger set.,approved,
gnote_3a5bb486689e4827b3a84102bd49065b,glesson_d7cad090d9554245a5dbed09caa87826,,1,formation,Build larger numbers from the highest place value to the lowest.,approved,
gnote_217fbfdefbf84fbbbf77ffc5e12b89c3,glesson_92993e435fd2485884e66731507a89a7,,1,constraint,Classifier choice is lexical: learn the common noun-classifier pairing.,approved,
gnote_2ce043a2e6a9416eb9972105b526c601,glesson_ffcb8ee873944afc831b07219d8b60c4,,1,usage,The container noun 杯 is borrowed to classify the amount it holds.,approved,
gnote_00dc0fa15c61448098d0131530967e22,glesson_366fff0d896542d0921adc449244e8df,,1,formation,Place the number directly before the time unit; these units do not take an extra classifier.,approved,
gnote_ed6b6f33164b46069ed3f14af4fa0b4d,glesson_16cda7aefaaf49eebd4327366d43cb10,,1,formation,Place the degree adverb before the adjective or adjective-like predicate.,approved,
gnote_52cfb60eae284774a65d74fa8f666123,glesson_16cda7aefaaf49eebd4327366d43cb10,,2,pragmatics,很 is often natural before a simple adjective even when 'very' is not strongly stressed.,approved,
gnote_0479d3a5297542dc9b177a76340909b8,glesson_4352b1a2159746fd89c742e39cd0668f,,1,constraint,"都 scopes over the set to its left, not a noun introduced later in the sentence.",approved,
