task_id,level_min,level_max,scenario_id,task_number,title_zh,title_en,source_id,source_locator_zh,source_locator_en
hsk26-task1-01,1,1,,1,问答个人基本信息,Asking and answering basic personal information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:56,reference/HSK_SYLLABUS_EN.md:56
hsk26-task1-02,1,1,,2,问答事件信息,Asking and answering event information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:63,reference/HSK_SYLLABUS_EN.md:63
hsk26-task1-03,1,1,,3,问答物品信息,Asking and answering object information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:70,reference/HSK_SYLLABUS_EN.md:70
hsk26-task1-04,1,1,,4,问答天气,Asking and answering weather information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:77,reference/HSK_SYLLABUS_EN.md:77
hsk26-task1-05,1,1,,5,问答环境信息,Asking and answering environmental or place information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:84,reference/HSK_SYLLABUS_EN.md:84
hsk26-task1-06,1,1,,6,日常言语交往,Everyday verbal interaction,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:91,reference/HSK_SYLLABUS_EN.md:91
hsk26-task1-07,1,1,,7,问答饮食喜好,Asking and answering food and dining preferences,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:98,reference/HSK_SYLLABUS_EN.md:98
hsk26-task1-08,1,1,,8,问答出行信息,Asking and answering travel information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:105,reference/HSK_SYLLABUS_EN.md:105
hsk26-task1-09,1,1,,9,问答商品信息,Asking and answering product information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:113,reference/HSK_SYLLABUS_EN.md:113
hsk26-task1-10,1,1,,10,告知生病、探病,Reporting illness and visiting the sick,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:120,reference/HSK_SYLLABUS_EN.md:120
hsk26-task1-11,1,1,,11,交流休闲活动,Exchanging information about leisure activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:126,reference/HSK_SYLLABUS_EN.md:126
hsk26-task1-12,1,1,,12,介绍学习情况,Introducing study situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:133,reference/HSK_SYLLABUS_EN.md:133
hsk26-task1-13,1,1,,13,交流学校情况、课后活动,Exchanging school information and after-class activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:140,reference/HSK_SYLLABUS_EN.md:140
hsk26-task1-14,1,1,,14,交流工作信息,Exchanging work information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:147,reference/HSK_SYLLABUS_EN.md:147
hsk26-task1-15,1,1,,15,问答中国传统饮食,Asking and answering about traditional Chinese food and drink,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:154,reference/HSK_SYLLABUS_EN.md:154
hsk26-task2-01,2,2,,1,问答个人基本情况,Asking and answering basic personal situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:162,reference/HSK_SYLLABUS_EN.md:162
hsk26-task2-02,2,2,,2,问答事件情况,Asking and answering event situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:170,reference/HSK_SYLLABUS_EN.md:170
hsk26-task2-03,2,2,,3,问答物品情况,Asking and answering object situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:178,reference/HSK_SYLLABUS_EN.md:178
hsk26-task2-04,2,2,,4,介绍天气基本情况,Introducing basic weather situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:186,reference/HSK_SYLLABUS_EN.md:186
hsk26-task2-05,2,2,,5,介绍某个地方,Introducing a place,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:193,reference/HSK_SYLLABUS_EN.md:193
hsk26-task2-06,2,2,,6,日常言语交往,Everyday verbal interaction,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:200,reference/HSK_SYLLABUS_EN.md:200
hsk26-task2-07,2,2,,7,问答日常饮食,Asking and answering about daily food and meals,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:207,reference/HSK_SYLLABUS_EN.md:207
hsk26-task2-08,2,2,,8,问答出行情况,Asking and answering about travel situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:214,reference/HSK_SYLLABUS_EN.md:214
hsk26-task2-09,2,2,,9,问答商品情况,Asking and answering about product situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:222,reference/HSK_SYLLABUS_EN.md:222
hsk26-task2-10,2,2,,10,问答生病、探病,Asking and answering about illness and visiting the sick,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:230,reference/HSK_SYLLABUS_EN.md:230
hsk26-task2-11,2,2,,11,交流休闲活动,Exchanging information about leisure activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:238,reference/HSK_SYLLABUS_EN.md:238
hsk26-task2-12,2,2,,12,介绍家庭日常生活,Introducing daily family life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:246,reference/HSK_SYLLABUS_EN.md:246
hsk26-task2-13,2,2,,13,介绍学习情况、学习经历,Introducing study situations and study experience,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:253,reference/HSK_SYLLABUS_EN.md:253
hsk26-task2-14,2,2,,14,交流学校情况、课后活动,Exchanging school information and after-class activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:260,reference/HSK_SYLLABUS_EN.md:260
hsk26-task2-15,2,2,,15,交流工作情况,Exchanging work situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:267,reference/HSK_SYLLABUS_EN.md:267
hsk26-task2-16,2,2,,16,介绍过年及传统饮食,Introducing 过年 and traditional food,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:275,reference/HSK_SYLLABUS_EN.md:275
hsk26-task2-17,2,2,,17,使用中文称谓语,Using Chinese forms of address,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:283,reference/HSK_SYLLABUS_EN.md:283
hsk26-task3-01,3,3,,1,介绍个人情况,Introducing personal situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:291,reference/HSK_SYLLABUS_EN.md:291
hsk26-task3-02,3,3,,2,交流、处理日常事务,Communicating about and handling daily affairs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:299,reference/HSK_SYLLABUS_EN.md:299
hsk26-task3-03,3,3,,3,日常交往,Everyday interaction,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:307,reference/HSK_SYLLABUS_EN.md:307
hsk26-task3-04,3,3,,4,交流饮食情况,Exchanging food and dining information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:316,reference/HSK_SYLLABUS_EN.md:316
hsk26-task3-05,3,3,,5,谈论交通出行,Talking about transportation and travel,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:324,reference/HSK_SYLLABUS_EN.md:324
hsk26-task3-06,3,3,,6,交流购物信息,Exchanging shopping information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:332,reference/HSK_SYLLABUS_EN.md:332
hsk26-task3-07,3,3,,7,谈论就医探病、健康观念,"Talking about medical visits, visiting the sick, and health ideas",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:340,reference/HSK_SYLLABUS_EN.md:340
hsk26-task3-08,3,3,,8,谈论休闲生活,Talking about leisure life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:348,reference/HSK_SYLLABUS_EN.md:348
hsk26-task3-09,3,3,,9,谈论居住情况,Talking about living situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:356,reference/HSK_SYLLABUS_EN.md:356
hsk26-task3-10,3,3,,10,谈论生活习惯、家庭关系和家庭事务,"Talking about living habits, family relationships, and family affairs",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:364,reference/HSK_SYLLABUS_EN.md:364
hsk26-task3-11,3,3,,11,沟通学习情况,Communicating about study situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:372,reference/HSK_SYLLABUS_EN.md:372
hsk26-task3-12,3,3,,12,交流校园生活,Exchanging campus-life information,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:380,reference/HSK_SYLLABUS_EN.md:380
hsk26-task3-13,3,3,,13,谈论家庭教育,Talking about family education,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:388,reference/HSK_SYLLABUS_EN.md:388
hsk26-task3-14,3,3,,14,交流日常办公情况,Exchanging information about daily office work,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:396,reference/HSK_SYLLABUS_EN.md:396
hsk26-task3-15,3,3,,15,谈论职业,Talking about occupations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:404,reference/HSK_SYLLABUS_EN.md:404
hsk26-task3-16,3,3,,16,谈论自然情况,Talking about nature,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:412,reference/HSK_SYLLABUS_EN.md:412
hsk26-task3-17,3,3,,17,介绍某个地方的环境和环保,Introducing the environment and environmental protection of a place,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:420,reference/HSK_SYLLABUS_EN.md:420
hsk26-task3-18,3,3,,18,交流社会生活的某个方面,Exchanging information about an aspect of social life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:428,reference/HSK_SYLLABUS_EN.md:428
hsk26-task3-19,3,3,,19,交流文艺活动信息,Exchanging information about literary and artistic activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:436,reference/HSK_SYLLABUS_EN.md:436
hsk26-task3-20,3,3,,20,介绍体育项目及比赛,Introducing sports and competitions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:444,reference/HSK_SYLLABUS_EN.md:444
hsk26-task3-21,3,3,,21,介绍中国特色饮食及餐具,Introducing Chinese-style foods and tableware,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:452,reference/HSK_SYLLABUS_EN.md:452
hsk26-task3-22,3,3,,22,介绍中国传统风俗,Introducing traditional Chinese customs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:459,reference/HSK_SYLLABUS_EN.md:459
hsk26-task4-01,4,4,,1,谈论某个人物,Talking about a person,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:468,reference/HSK_SYLLABUS_EN.md:470
hsk26-task4-02,4,4,,2,交流、处理日常事务,Communicating about and handling everyday affairs,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:476,reference/HSK_SYLLABUS_EN.md:478
hsk26-task4-03,4,4,,3,日常言语交往,Everyday verbal interaction,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:484,reference/HSK_SYLLABUS_EN.md:486
hsk26-task4-04,4,4,,4,谈论情感话题,Talking about emotional topics,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:491,reference/HSK_SYLLABUS_EN.md:493
hsk26-task4-05,4,4,,5,介绍饮食情况,Introducing food and dining situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:499,reference/HSK_SYLLABUS_EN.md:501
hsk26-task4-06,4,4,,6,谈论交通出行,Talking about transportation and travel,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:507,reference/HSK_SYLLABUS_EN.md:509
hsk26-task4-07,4,4,,7,交流购物体验、商业活动内容,Exchanging information about shopping experiences and business activities,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:515,reference/HSK_SYLLABUS_EN.md:517
hsk26-task4-08,4,4,,8,谈论就医情况、健康生活,Talking about medical treatment and healthy living,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:523,reference/HSK_SYLLABUS_EN.md:525
hsk26-task4-09,4,4,,9,交流业余爱好、休闲度假,"Exchanging information about hobbies, leisure, and vacations",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:531,reference/HSK_SYLLABUS_EN.md:533
hsk26-task4-10,4,4,,10,交流居住情况、社区情况,Exchanging information about living and community situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:539,reference/HSK_SYLLABUS_EN.md:541
hsk26-task4-11,4,4,,11,交流家庭生活情况,Exchanging information about family life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:547,reference/HSK_SYLLABUS_EN.md:549
hsk26-task4-12,4,4,,12,谈论教学、学习情况,Talking about teaching and study situations,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:555,reference/HSK_SYLLABUS_EN.md:557
hsk26-task4-13,4,4,,13,交流校园生活,Exchanging information about campus life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:563,reference/HSK_SYLLABUS_EN.md:565
hsk26-task4-14,4,4,,14,谈论教育现象、观念,Talking about educational phenomena and ideas,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:571,reference/HSK_SYLLABUS_EN.md:573
hsk26-task4-15,4,4,,15,谈论工作情况与表现,Talking about work situations and performance,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:579,reference/HSK_SYLLABUS_EN.md:581
hsk26-task4-16,4,4,,16,介绍职业经历与单位情况,Introducing professional experience and information about a work unit,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:587,reference/HSK_SYLLABUS_EN.md:589
hsk26-task4-17,4,4,,17,谈论自然情况,Talking about nature,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:595,reference/HSK_SYLLABUS_EN.md:597
hsk26-task4-18,4,4,,18,谈论生活中的环保情况,Talking about environmental protection in life,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:603,reference/HSK_SYLLABUS_EN.md:605
hsk26-task4-19,4,4,,19,介绍新技术应用及科技成果,Introducing applications of new technology and scientific and technological achievements,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:611,reference/HSK_SYLLABUS_EN.md:613
