vocab_id,syllabus_form,hanzi,pinyin,part_of_speech_zh,active_exact_sentence_count,active_exact_card_count,approved_active_context_count,legacy_unreviewed_active_context_count,other_active_context_count,deficit_to_2,deficit_to_3,surplus_above_3,at_least_one,at_least_two,at_least_three,active_open_issue_count,active_open_issue_ids,active_sentence_ids,active_card_ids
hsk26-v00301,啊,啊,a,助,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0021|hsk2_sent_aug_seed_066,hsk2_sent_aug_dense_0021|hsk2_sent_aug_seed_066
hsk26-v00302,爱好,爱好,àihào,动、名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_067|hsk2_sent_zh_en_009,hsk2_sent_aug_seed_067|hsk2_sent_zh_en_009
hsk26-v00303,白色,白色,báisè,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_068|hsk2_sent_en_zh_021,hsk2_sent_aug_seed_068|hsk2_sent_en_zh_021
hsk26-v00304,班,班,bān,名、（量）,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_069|sent_57958d7b293342af808ac002f09d152b,hsk2_sent_aug_seed_069|scard_0f7719d1140e48be86aa36992a6c1fee
hsk26-v00305,帮,帮,bāng,动,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_070|sent_64f86d220af74d46894a6bf2abbb1837,hsk2_sent_aug_seed_070|scard_57813221b3ac46cd860238f861b30f61
hsk26-v00306,帮忙,帮忙,bāngmáng,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0074|hsk2_sent_en_zh_061,hsk2_sent_aug_dense_0074|hsk2_sent_en_zh_061
hsk26-v00307,包,包,bāo,动、名、量,3,3,1,2,0,0,0,0,True,True,True,0,,hsk2_sent_aug_seed_101|hsk2_sent_en_zh_045|sent_1622af2c566a4f7f99cb3502ee24b6c1,hsk2_sent_aug_seed_101|hsk2_sent_en_zh_045|scard_47a627810fb14663abf5224c422f33ac
hsk26-v00308,本子,本子,běnzi,名,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_068|sent_e3daa3da83244391bb6629869214a6d4,hsk2_sent_aug_seed_068|scard_02c31e746e7741f3a54f187782502583
hsk26-v00309,比,比,bǐ,动、介,5,5,5,0,0,0,0,2,True,True,True,0,,sent_0c136c6500834b12af47dc8407f23073|sent_2876935dda374c7eb8cfc9ac2f186dbc|sent_2f5d2ae8a60c4948a2c14089304c078f|sent_c8b153bcfd334de4b601566e941fb3d3|sent_feae604de65b46c3b8b9d68015c88d97,scard_3236d681c33e4cdca9d91136f2b3aa49|scard_38e653ceba854bf8bad0a899818397c4|scard_bb5028f516ea488cb4f1c9cfb6d8646c|scard_cd87be4e508c4fc3a9d1f3b1fb12aa12|scard_ec0c24f381a94300bd2ea3bbec826522
hsk26-v00310,笔,笔,bǐ,名、（量）,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0021|sent_e3daa3da83244391bb6629869214a6d4,hsk2_sent_aug_dense_0021|scard_02c31e746e7741f3a54f187782502583
hsk26-v00311,别1,别,bié,副,5,5,3,2,0,0,0,2,True,True,True,0,,hsk2_sent_zh_en_040|hsk2_sent_zh_en_067|sent_05003ff9335c45ebb19a2b3f6f48aae5|sent_54da821833a84888ad9d72a2585a4588|sent_d84e6980a2494cbeb538d8bca71e8c38,hsk2_sent_zh_en_040|hsk2_sent_zh_en_067|scard_0d4bb746ab1f4db8a57e04b0fb823119|scard_511fbde88a2f4825867540e44dcd3dad|scard_a7378b5d319a4f4e8ddfec66f536e71e
hsk26-v00312,不错,不错,búcuò,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_066|hsk2_sent_zh_en_059,hsk2_sent_aug_seed_066|hsk2_sent_zh_en_059
hsk26-v00313,不好意思,不好意思,bùhǎoyìsi,,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0075|hsk2_sent_aug_seed_071,hsk2_sent_aug_dense_0075|hsk2_sent_aug_seed_071
hsk26-v00314,长,长,cháng,形,2,2,1,1,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_072|sent_68e9d03dd5244a3f9478ed50a861fdb1,hsk2_sent_aug_seed_072|scard_b6d8ba9063ec42158c5470cb7f7aaedc
hsk26-v00315,车站,车站,chēzhàn,名,4,4,2,2,0,0,0,1,True,True,True,0,,hsk2_sent_aug_seed_073|hsk2_sent_en_zh_029|sent_ba3fc3abc88d401d888cda5bbaa4ff41|sent_c3fc772654d74543922885be49d0c084,hsk2_sent_aug_seed_073|hsk2_sent_en_zh_029|scard_574f566b7d0a4ad28fcf1e2cedc2ea8e|scard_612b88174fc046d88c7885e86e301d3e
hsk26-v00316,出,出,chū,动,2,2,2,0,0,0,1,0,True,True,False,0,,sent_6f9107918c5f4005ae0e29816203fa1d|sent_c0149fae0a45470a812f85d70d6abb23,scard_5b62718d5fea4255990ff247320197e5|scard_5e8d9cede1cd4a54ba8bf2ace4cf269e
hsk26-v00317,出国,出国,chūguó,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_seed_074|hsk2_sent_zh_en_066,hsk2_sent_aug_seed_074|hsk2_sent_zh_en_066
hsk26-v00318,出来,出来,chūlái,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0075|hsk2_sent_zh_en_054,hsk2_sent_aug_dense_0075|hsk2_sent_zh_en_054
hsk26-v00319,出门,出门,chūmén,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk2_sent_aug_dense_0089|hsk2_sent_zh_en_040,hsk2_sent_aug_dense_0089|hsk2_sent_zh_en_040
