reading_id,hanzi_id,pinyin,pinyin_numeric,meaning_en,stroke_sequence,review_status,source_id,notes
hanzi_7231-legacy-reading,hanzi_7231,ài,ai4,to love; to like,3443451354,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_516b-legacy-reading,hanzi_516b,bā,ba1,eight,34,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_7238-legacy-reading,hanzi_7238,bà,ba4,father; dad,34345215,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5427-legacy-reading,hanzi_5427,ba,ba,...right?; ...OK?,2515215,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_767d-legacy-reading,hanzi_767d,bái,bai2,daytime,32511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_767e-legacy-reading,hanzi_767e,bǎi,bai3,hundred,132511,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_73ed-legacy-reading,hanzi_73ed,bān,ban1,class; group,1121431121,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_534a-legacy-reading,hanzi_534a,bàn,ban4,half,43112,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_5305-legacy-reading,hanzi_5305,bāo,bao1,bag; package,35515,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_676f-legacy-reading,hanzi_676f,bēi,bei1,cup; glass,12341324,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_672c-legacy-reading,hanzi_672c,běn,ben3,classifier for books; volumes,12341,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8fb9-legacy-reading,hanzi_8fb9,biān,bian1,side; edge,53454,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4fbf-legacy-reading,hanzi_4fbf,pián,pian2,cheap,321251134,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_75c5-legacy-reading,hanzi_75c5,bìng,bing4,illness; disease,4134112534,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_4e0d-legacy-reading,hanzi_4e0d,bù,bu4,not; no,1324,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_83dc-legacy-reading,hanzi_83dc,cài,cai4,vegetable; dish,12234431234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
hanzi_8336-legacy-reading,hanzi_8336,chá,cha2,tea,122341234,legacy_unreviewed,legacy-runtime,Legacy meaning may be inherited from a compound word; review as a character gloss.
