topic_id,level_min,level_max,row_order,topic_l1_zh,topic_l1_en,topic_l2_zh,topic_l2_en,topic_l3_zh,topic_l3_en,source_id,source_locator_zh,source_locator_en,notes
hsk26-t1-001,1,1,1,基本信息,Basic information,个人信息,Personal information,姓名、国籍、年龄、性别、喜好、习惯等,"Name, nationality, age, gender, preferences, habits, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1260,reference/HSK_SYLLABUS_EN.md:1261,
hsk26-t1-002,1,1,2,基本信息,Basic information,个人信息,Personal information,身份、家庭成员、朋友、技能等,"Identity, family members, friends, skills, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1261,reference/HSK_SYLLABUS_EN.md:1262,
hsk26-t1-003,1,1,3,基本信息,Basic information,事件信息,Event information,日期、时间、地点、方位、参加者、号码等,"Date, time, place, direction/location, participants, numbers, etc.",hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1262,reference/HSK_SYLLABUS_EN.md:1263,
hsk26-t1-004,1,1,4,基本信息,Basic information,物品信息,Object information,物品名称,Object names,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1263,reference/HSK_SYLLABUS_EN.md:1264,
hsk26-t1-005,1,1,5,基本信息,Basic information,物品信息,Object information,物品特征,Object features,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1264,reference/HSK_SYLLABUS_EN.md:1265,
hsk26-t1-006,1,1,6,基本信息,Basic information,环境信息,Environmental information,天气,Weather,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1265,reference/HSK_SYLLABUS_EN.md:1266,
hsk26-t1-007,1,1,7,基本信息,Basic information,环境信息,Environmental information,环境特点,Environmental features,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1266,reference/HSK_SYLLABUS_EN.md:1267,
hsk26-t1-008,1,1,8,日常生活,Daily life,交往,Interaction,基本礼貌行为,Basic polite behavior,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1267,reference/HSK_SYLLABUS_EN.md:1268,
hsk26-t1-009,1,1,9,日常生活,Daily life,交往,Interaction,简单互动行为,Simple interaction behavior,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1268,reference/HSK_SYLLABUS_EN.md:1269,
hsk26-t1-010,1,1,10,日常生活,Daily life,交往,Interaction,意愿感受,Wishes and feelings,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1269,reference/HSK_SYLLABUS_EN.md:1270,
hsk26-t1-011,1,1,11,日常生活,Daily life,饮食,Food and drink,食物饮品,Food and beverages,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1270,reference/HSK_SYLLABUS_EN.md:1271,
hsk26-t1-012,1,1,12,日常生活,Daily life,饮食,Food and drink,就餐,Dining,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1271,reference/HSK_SYLLABUS_EN.md:1272,
hsk26-t1-013,1,1,13,日常生活,Daily life,交通出行,Transportation and travel,问路,Asking directions,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1272,reference/HSK_SYLLABUS_EN.md:1273,
hsk26-t1-014,1,1,14,日常生活,Daily life,交通出行,Transportation and travel,出行方式,Travel modes,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1273,reference/HSK_SYLLABUS_EN.md:1274,
hsk26-t1-015,1,1,15,日常生活,Daily life,交通出行,Transportation and travel,出行安排,Travel arrangements,hsk26-zh+hsk26-en,reference/HSK_SYLLABUS_ZH.md:1274,reference/HSK_SYLLABUS_EN.md:1275,
