grammar_example_id,grammar_point_id,grammar_element_id,demonstration_order,analysis_en,review_status,notes
gexample_50e064c31dee44b188b641f07ed75c8c,hsk26-g1-001,gelement_b7265b28c7a144e9bab354737b6b130a,1,小 attaches to 学生 inside 小学生 and identifies the junior school category.,approved,
gexample_3cd63eee4a664a4f810f20ad6028dadb,hsk26-g1-001,gelement_11f2932a68b542959aa47b381f73722c,1,"第 comes directly before 一, turning the number into the ordinal 'first.'",approved,
gexample_2a7e0ab90b1d4119ba79a7e6ab0227d2,hsk26-g1-002,gelement_ec6cc25b0b79442e8d9d74398d1a25bb,1,"们 follows 我 to form 我们, the plural first-person pronoun 'we.'",approved,
gexample_7c8199c4171d45d3b63ee87e362a1b56,hsk26-g1-002,gelement_b059836e59534709a8d930279ed5aa9f,1,"边 attaches to 那 and forms 那边, a location away from the speaker.",approved,
gexample_d03ad36d70634a909fc2d6b4733036c8,hsk26-g1-003,gelement_dd36f653115140b8b5cbdeae4c7a48d7,1,上 follows 桌子 and locates the book on the table's upper surface.,approved,
gexample_fd391a1aff1d4ae7a09713892ca5dc05,hsk26-g1-003,gelement_8893c46c640c4e0f972964d90ebd7746,1,里 follows 房间 and marks the room's interior as the location.,approved,
gexample_e03f22d7927a49c196b1924303a49a27,hsk26-g1-004,gelement_8a66dc49c9064b849508e0d2bb882bca,1,会 precedes 开车 and presents driving as a learned skill.,approved,
gexample_9b3d76cbd14a469191ff34e4df24d99f,hsk26-g1-004,gelement_f9917ba47bb148e1a82b18665150de7b,1,能 precedes 来 and says present ability or circumstances allow him to come.,approved,
gexample_812c8838412748ce893105502cde35c1,hsk26-g1-005,gelement_473a08dc7c22489c91b55e1c91d7b2d0,1,想 comes before 喝 and presents drinking tea as a wish.,approved,
gexample_d9b6396eb63e4015af1e703c5fc5cf64,hsk26-g1-005,gelement_d1973bcb87784417bbcf30b76daaf423,1,要 directly precedes 买 and gives the intended purchase a firmer force.,approved,
gexample_0c9e79eaffd64130906cc1c530d7e78f,hsk26-g1-006,gelement_ec0fb2388c444048a275bd0b9e921736,1,"可以 precedes 坐 and, with 吗, asks for permission to sit here.",approved,
gexample_a7768ead4d4d49cd97a3c2140ef1c96f,hsk26-g1-006,gelement_ec0fb2388c444048a275bd0b9e921736,1,可以 before 看 presents reading this book as permitted or acceptable.,approved,
gexample_fb219fe8846b4bbb9094c3248228ac94,hsk26-g1-007,gelement_f6ef9004ee814a6f955a622e9f17a2ac,1,看病 names the medical-care activity and follows 去医院 as its purpose.,approved,
gexample_e949fd826ee74b4faa67eb69e0d73725,hsk26-g1-007,gelement_d8cb8d87f0a3453ba9c91b766ef8581e,1,上课 functions as the activity performed by 学生 at 学校.,approved,
gexample_34dd352d28474802a8e50ef8715e8199,hsk26-g1-008,gelement_4d9f2e56c1ac41098e4bb04f6f66cbf0,1,"什么 remains after 吃, exactly where the unknown food would appear in an answer.",approved,
gexample_30386be4fb844e0f94ed90724ec8ca07,hsk26-g1-008,gelement_0d700183d2cd43f088f9cba3b3c9ec81,1,哪儿 occupies the location position after 住 and asks for that missing place.,approved,
gexample_bb2a1560c4904d3a804750022dadcea7,hsk26-g1-009,gelement_77bf8438063c4f66a664cafb4f357e86,1,我们 is the plural first-person subject and includes the speaker.,approved,
gexample_512f303622fb4803aed72d48dad01131,hsk26-g1-009,gelement_cb49c021e6e649c994f03bf1bc4a57f4,1,她们 is the subject and refers to a group presented as all female.,approved,
gexample_74d23b54f4fc4352800dbd6a289755db,hsk26-g1-010,gelement_be6b840d25d548cfa24ea974f4e6ed8c,1,这个 stands alone as the subject and points to one nearby item.,approved,
gexample_232d71b233f64c12a3c979bae3264400,hsk26-g1-010,gelement_9f625c4306af4b39a5d9d8c7767907e6,1,那些 is a plural distal demonstrative and identifies the books away from the speaker.,approved,
gexample_f219decb9c3248189fc15a32b4f6e605,hsk26-g1-011,gelement_e75afce261e84221ac67aa5deb20aa6e,1,"二 begins 二十, where it is part of the fixed cardinal number twenty.",approved,
gexample_8f16d444cfaa459bbb7bcee78c9ea47f,hsk26-g1-011,gelement_665373a62d0645feb3adfdb5ad3ece47,1,两 appears before the classifier 件 to express a quantity of two.,approved,
gexample_d79059feec804af98e66458478217025,hsk26-g1-012,gelement_16ca3743bd1b4fdaace118a1c4ddf435,1,本 stands between 一 and 书 because books use this dedicated classifier.,approved,
