grammar_element_id,grammar_point_id,element_order,element_kind,target_zh,learner_gloss_en,review_status,basis_source_id,content_origin,notes
gelement_b7265b28c7a144e9bab354737b6b130a,hsk26-g1-001,1,morphology,小—,"prefix forming a smaller, younger, or junior label",approved,hsk26-zh+hsk26-en,project_authored,
gelement_11f2932a68b542959aa47b381f73722c,hsk26-g1-001,2,morphology,第—,prefix placed before a number to form an ordinal,approved,hsk26-zh+hsk26-en,project_authored,
gelement_ec6cc25b0b79442e8d9d74398d1a25bb,hsk26-g1-002,1,morphology,—们,human plural suffix,approved,hsk26-zh+hsk26-en,project_authored,
gelement_b059836e59534709a8d930279ed5aa9f,hsk26-g1-002,2,morphology,—边,suffix forming a side or location word,approved,hsk26-zh+hsk26-en,project_authored,
gelement_dd36f653115140b8b5cbdeae4c7a48d7,hsk26-g1-003,1,inventory_member,上,on or above,approved,hsk26-zh+hsk26-en,project_authored,
gelement_3a89107ea0c9479fbba9eefa3ddb8e3b,hsk26-g1-003,2,inventory_member,下,under or below,approved,hsk26-zh+hsk26-en,project_authored,
gelement_8893c46c640c4e0f972964d90ebd7746,hsk26-g1-003,3,inventory_member,里,inside,approved,hsk26-zh+hsk26-en,project_authored,
gelement_8890d75b356e4f6d9aa73c4956850994,hsk26-g1-003,4,inventory_member,外,outside,approved,hsk26-zh+hsk26-en,project_authored,
gelement_9c669e02d275445aaaab5a1eb702b28d,hsk26-g1-003,5,inventory_member,前,in front of or before,approved,hsk26-zh+hsk26-en,project_authored,
gelement_7a6b73d3fadb4ff68215bac3c78e62c7,hsk26-g1-003,6,inventory_member,后,behind or after,approved,hsk26-zh+hsk26-en,project_authored,
gelement_8a66dc49c9064b849508e0d2bb882bca,hsk26-g1-004,1,function,会,know how to through learning,approved,hsk26-zh+hsk26-en,project_authored,
gelement_f9917ba47bb148e1a82b18665150de7b,hsk26-g1-004,2,function,能,be able to or have conditions that permit,approved,hsk26-zh+hsk26-en,project_authored,
gelement_473a08dc7c22489c91b55e1c91d7b2d0,hsk26-g1-005,1,function,想,would like or want to,approved,hsk26-zh+hsk26-en,project_authored,
