review_id,entity_type,entity_id,content_hash,from_status,to_status,reviewer,reviewer_type,reviewed_at,notes
review_1e8b8a4c3d36435289acb9bdd6d762f6,grammar_vocabulary_exception,gvexception_e22622b533df40568916e3396dc5ae4d,300c84abedda488bc760ef68ffe7810d22bfc277b4a86c423e107314d4502ee1,in_review,approved,repository-user,human,2026-07-13,Explicit approval of the hsk26-g1-013 classifier 杯 exception only; no vocabulary sense mapping is authorized.
review_f2edc00e0f104ad79b81ffb6572346bd,grammar_vocabulary_exception,gvexception_f7f715292f104f4685787d152900976f,061910b6a171d3880662dc629e266eed2a3225139ef636fe5eb6e939de567d52,in_review,approved,repository-user,human,2026-07-13,Repository-user editorial-exception authorization and instruction to finalize; implemented only for the hsk26-g3-023 不必 negative_modal target without a vocabulary mapping.
review_a4980c03859449c5abc673f02be2ccb5,grammar_point,hsk26-g1-001,2a2c41ffb6a2de59f92ab8d6c0d97445dd7472f4347769ac73c75966cdbb1a93,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_460acfe62c474407b9727284428c823d,grammar_point,hsk26-g1-002,fed7fdf2d16f6dad5063c1d28ac357a4d96e9e447e20f54c9240e1bc61425593,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_31d4276616bd4b058550d0e8c7d9f824,grammar_point,hsk26-g1-003,4aa7ef6f1e06d0e57612f79993d777d994b4992238aa64b05ea1cf9e175ef779,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_d1295195ed844ef29794c84b9806cf4a,grammar_point,hsk26-g1-004,af640936d174c5aca4e1ed21423f812dc212de413f294b0f1a9256c84c56fb4e,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_e5b23d7b32724106b13d450ec11c301e,grammar_point,hsk26-g1-005,bc853b6bedc5928c76c7990583c8f315ad2273d1edf93112be282746240a1e1a,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_b849af9b549645e0b44afb178d8549eb,grammar_point,hsk26-g1-006,288de5a2c4786e03e6e655b4e113ba6b6c3c31fef6e07b050affa1c1248a1f08,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_e949f4acb82d4d60bbf755b5f9de92fa,grammar_point,hsk26-g1-007,6a8a12cc64e4f3dc86f45405b43ded7e540de4cab180e4c002bb88b31d30a9a1,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_3eba03081947409abce3631fe5a86f99,grammar_point,hsk26-g1-008,d120786c9d5ed88575d3b82fa332f0b958e5c19ecb3865d004fa9805dc9dd706,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_75407ad805764b0da33a4aadf9e5590c,grammar_point,hsk26-g1-009,c7be7874676510e165eea73b75d03e13548d8e7a2dd6bda07cde5067b9ffe69f,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_4ad24452910a493f92331320c73d116d,grammar_point,hsk26-g1-010,390375366b1dc78eebe9b5453f7c9c3eb762be64ec3461eff0dcd3286d3a3d96,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_9f26c824c33947069fec841a29c7ac13,grammar_point,hsk26-g1-011,525488720950c28c7652a36b361042ec8143e47389e91756c987af47602bbe92,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_f0382ae4a9554127ba52c1a2e95cad26,grammar_point,hsk26-g1-012,64d14702cf3aee4d5843d06025819438e4bb2282628e3ed36462e280eb122a4f,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
review_5a94f40c225640d1b7e1fbe22fef62aa,grammar_point,hsk26-g1-013,d6286fe1a7c11971165a7452623fa5384268401770061236369f7d11f0f4102b,syllabus_only,approved,codex-hsk1-cross-reviewer,agent,2026-07-13T16:01:44Z,Agent editorial review for the HSK 1-3 Grammar study page.
